,cumsumduration,cumsumwinner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsumwinMethods_[DEC],cumsumwinMethods_[DQ],cumsumwinMethods_[KO],cumsumwinMethods_[SUB],eventDate.date,fighterId,duration,winner,fighter_nbr,count_of_fights,fighterName
5594,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2018-07-06 00:00:00,584,300.0,False,2,0,Jay Cucciniello
5599,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2018-07-06 00:00:00,585,300.0,False,2,0,Allan Zuniga
5600,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2018-07-06 00:00:00,586,300.0,False,2,0,Tyler Diamond
5241,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2017-09-22 00:00:00,587,300.0,True,1,0,Daichi Abe
5435,300.0,1,59.0,27.0,1.0,1.0,0.0,0.0,57.0,25.0,0.0,1.0,43.0,16.0,1.0,1.0,13.0,8.0,50.0,18.0,1.0,1.0,6.0,6.0,1,0,0,0,2018-02-10 00:00:00,587,300.0,False,2,1,Daichi Abe
5581,600.0,1,96.0,38.0,1.0,1.0,0.0,0.0,94.0,36.0,0.0,1.0,73.0,22.0,5.0,3.0,16.0,11.0,87.0,29.0,1.0,1.0,6.0,6.0,2,0,0,0,2018-06-23 00:00:00,587,300.0,False,2,2,Daichi Abe
3808,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2014-08-23 00:00:00,588,257.0,False,2,0,Shinsho Anzai
4332,257.0,0,60.0,41.0,1.0,1.0,0.0,0.0,46.0,31.0,0.0,1.0,44.0,29.0,2.0,2.0,0.0,0.0,40.0,26.0,6.0,5.0,0.0,0.0,0,0,1,0,2015-09-26 00:00:00,588,47.0,True,1,1,Shinsho Anzai
5242,304.0,1,69.0,46.0,2.0,1.0,0.0,0.0,55.0,36.0,0.0,1.0,51.0,32.0,2.0,2.0,2.0,2.0,46.0,29.0,9.0,7.0,0.0,0.0,0,0,2,0,2017-09-22 00:00:00,588,300.0,True,2,2,Shinsho Anzai
5587,604.0,2,114.0,75.0,10.0,1.0,0.0,0.0,87.0,57.0,0.0,1.0,74.0,47.0,9.0,8.0,4.0,2.0,64.0,38.0,23.0,19.0,0.0,0.0,1,0,2,0,2018-06-23 00:00:00,588,164.0,False,2,3,Shinsho Anzai
