,cumsum_duration,cumsum_winner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsum_winMethods_[DEC],cumsum_winMethods_[DQ],cumsum_winMethods_[KO],cumsum_winMethods_[SUB],current_duration,winner,current_hitsTotal,current_hitsSuccessful,current_takedownTotal,current_takedownSuccessful,current_submissionAttempts,current_takeovers,current_accentedHitsTotal,current_accentedHitsSuccessful,current_knockdowns,current_protectionPassage,current_hitsHeadTotal,current_hitsHeadSuccessful,current_hitsBodyTotal,current_hitsBodySuccessful,current_hitsLegsTotal,current_hitsLegsSuccessful,current_accentedHitsPositionDistanceTotal,current_accentedHitsPositionDistanceSuccessful,current_accentedHitsPositionClinchTotal,current_accentedHitsPositionClinchSuccessful,current_accentedHitsPositionParterTotal,current_accentedHitsPositionParterSuccessful,current_winMethods_[DEC],current_winMethods_[DQ],current_winMethods_[KO],current_winMethods_[SUB],age,eventDate.date,fighterId,fighter_nbr,odds,winnerId,count_of_fights,win_streak,loose_streak,fighterName
5079,231.0,1,46.0,13.0,0.0,0.0,0.0,0.0,46.0,13.0,0.0,0.0,43.0,11.0,2.0,1.0,1.0,1.0,44.0,12.0,1.0,0.0,1.0,1.0,0,0,2,0,7.0,True,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0,0,1,0,31.0,2017-05-28 00:00:00,414,1,3.8,414.0,1,1,0,Damir Hadzovic
5422,531.0,1,65.0,29.0,0.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0,45.0,12.0,9.0,7.0,1.0,1.0,49.0,15.0,5.0,4.0,1.0,1.0,1,0,2,0,300.0,False,19.0,16.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,2.0,1.0,7.0,6.0,0.0,0.0,5.0,3.0,4.0,4.0,0.0,0.0,1,0,0,0,32.0,2018-02-03 00:00:00,414,2,3.12,280.0,2,0,1,Damir Hadzovic
5634,831.0,2,127.0,58.0,0.0,0.0,0.0,0.0,117.0,49.0,0.0,0.0,101.0,36.0,13.0,10.0,3.0,3.0,108.0,41.0,7.0,6.0,2.0,2.0,2,0,2,0,300.0,True,62.0,29.0,0.0,0.0,0.0,0.0,62.0,29.0,0.0,0.0,56.0,24.0,4.0,3.0,2.0,2.0,59.0,26.0,2.0,2.0,1.0,1.0,1,0,0,0,32.0,2018-07-22 00:00:00,414,1,2.48,414.0,3,1,0,Damir Hadzovic
5907,954.0,3,180.0,96.0,2.0,1.0,0.0,0.0,161.0,78.0,0.0,2.0,143.0,63.0,15.0,12.0,3.0,3.0,117.0,46.0,7.0,6.0,37.0,26.0,2,0,3,0,123.0,True,53.0,38.0,2.0,1.0,0.0,0.0,44.0,29.0,0.0,2.0,42.0,27.0,2.0,2.0,0.0,0.0,9.0,5.0,0.0,0.0,35.0,24.0,0,0,1,0,33.0,2019-02-23 00:00:00,414,2,1.77,414.0,4,2,0,Damir Hadzovic
6051,1254.0,3,226.0,123.0,2.0,1.0,0.0,0.0,186.0,92.0,0.0,2.0,167.0,76.0,15.0,12.0,4.0,4.0,128.0,51.0,11.0,10.0,47.0,31.0,3,0,3,0,300.0,False,46.0,27.0,0.0,0.0,0.0,0.0,25.0,14.0,0.0,0.0,24.0,13.0,0.0,0.0,1.0,1.0,11.0,5.0,4.0,4.0,10.0,5.0,1,0,0,0,33.0,2019-06-01 00:00:00,414,2,1.62,87.0,5,0,1,Damir Hadzovic
6450,1298.0,3,231.0,124.0,2.0,1.0,0.0,0.0,191.0,93.0,0.0,2.0,171.0,76.0,15.0,12.0,5.0,5.0,133.0,52.0,11.0,10.0,47.0,31.0,3,0,3,0,44.0,False,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,34.0,2020-03-14 00:00:00,414,2,4.04,234.0,6,0,2,Damir Hadzovic
625,325.0,0,45.0,34.0,1.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,13.0,6.0,5.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,14.0,11.0,0,0,0,1,325.0,False,45.0,34.0,1.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,13.0,6.0,5.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,14.0,11.0,0,0,0,1,30.0,2004-06-20 00:00:00,415,1,,3369.0,0,0,1,Mark Hunt
857,403.0,1,74.0,47.0,1.0,0.0,0.0,0.0,42.0,21.0,0.0,0.0,34.0,13.0,6.0,6.0,2.0,2.0,24.0,8.0,4.0,2.0,14.0,11.0,0,0,1,1,78.0,True,29.0,13.0,0.0,0.0,0.0,0.0,24.0,10.0,0.0,0.0,21.0,7.0,1.0,1.0,2.0,2.0,21.0,8.0,3.0,2.0,0.0,0.0,0,0,1,0,32.0,2006-02-26 00:00:00,415,1,,415.0,1,1,0,Mark Hunt
1090,899.0,1,97.0,56.0,2.0,0.0,2.0,0.0,61.0,27.0,0.0,3.0,50.0,19.0,7.0,6.0,4.0,2.0,34.0,9.0,6.0,4.0,21.0,14.0,0,0,1,2,496.0,False,23.0,9.0,1.0,0.0,2.0,0.0,19.0,6.0,0.0,3.0,16.0,6.0,1.0,0.0,2.0,0.0,10.0,1.0,2.0,2.0,7.0,3.0,0,0,0,1,32.0,2006-12-31 00:00:00,415,1,,2296.0,2,0,1,Mark Hunt
1697,917.0,1,100.0,56.0,2.0,0.0,2.0,0.0,64.0,27.0,0.0,3.0,53.0,19.0,7.0,6.0,4.0,2.0,37.0,9.0,6.0,4.0,21.0,14.0,0,0,2,2,18.0,False,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,34.0,2008-12-31 00:00:00,415,1,,2726.0,3,0,2,Mark Hunt
